"Salinity (g kg-1)","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
0,999.267626576998,999.423913956608,999.559382882179,999.674733245928,999.77063571256,999.847732502973,999.906638178036,999.947940422425,999.972200828508,999.979955680281,999.971716737337,999.947972018881,999.909186587768,999.855803334582,999.788243761725,999.706908767546,999.612179430481,999.504417793212,999.383967646849,999.251155315122,999.10629043859,998.949666758861,998.781562902822,998.602243166886,998.41195830124,998.210946294108,997.999433156018,997.77763370408,997.545752346265,997.303983865698,997.052514204947,996.791521250327,996.5211756162,996.241641429286,995.953077112975,995.655636171641,995.349467974963,995.034718542249,994.711531326757,994.380048000029,994.040409236219
1,1000.10877738473,1000.26035220541,1000.3912789512,1000.50225211546,1000.59393709323,1000.66697096488,1000.72196327992,1000.75949684089,1000.78012848719,1000.78438987908,1000.77278828163,1000.74580734875,1000.70390790721,1000.6475287408,1000.57708737431,1000.49298085779,1000.39558655058,1000.28526290555,1000.16235025326,1000.02717158614,999.880033342736,999.721226191897,999.551025817034,999.369693700356,999.177477907123,998.974613869912,998.761325172884,998.537824336064,998.304313599622,998.060985708165,997.808024695032,997.545606666594,997.273900586558,996.993069060278,996.703269119064,996.404653004506,996.097368952787,995.781561979011,995.457374661526,995.124947926254,994.784421831025
2,1000.94569422852,1001.09265354176,1001.2191324185,1001.32581995324,1001.41337627125,1001.48243331236,1001.5335956147,1001.56744109859,1001.58452185048,1001.58536490684,1001.57047303819,1001.54032553312,1001.49537898233,1001.43606806273,1001.36280632156,1001.27598696049,1001.17598361978,1001.06315116247,1000.93782645856,1000.80032916917,1000.65096253081,1000.49001413958,1000.3177567354,1000.13444898626,999.940336272502,999.735651471037,999.520615739657,999.295439301298,999.060322228324,998.815455226823,998.5610204209,998.297192136977,998.024137688105,997.742018158267,997.450989186696,997.151201752194,996.842802957446,996.525936813351,996.200745023345,995.867367767734,995.525944488019
3,1001.78019206967,1001.92259905376,1002.04469145566,1002.14715297093,1002.23063845508,1002.29577470731,1002.34316125436,1002.37337113434,1002.38695168066,1002.38442530602,1002.36629028635,1002.33302154492,1002.28507143631,1002.22287053059,1002.14682839737,1002.05733438996,1001.95475842955,1001.83945178931,1001.71174787866,1001.57196302742,1001.42039727007,1001.25733512993,1001.08304640342,1000.89778694434,1000.70179944805,1000.49531423584,1000.27855003912,1000.05171478371,999.81500637419,999.56861347811,999.312716310342,999.047487417359,998.773092461551,998.48969100553,998.197437296448,997.896481050317,997.586968236324,997.269041861162,996.942842753355,996.608510347588,996.266183469036
4,1002.61291857815,1002.75082432377,1002.86857989878,1002.96686359976,1003.04632501243,1003.10758579535,1003.15124046382,1003.17785717369,1003.18797850536,1003.18212224769,1003.16078218205,1003.12442886632,1003.07351041899,1003.00845330324,1002.92966311106,1002.83752534741,1002.73240621432,1002.61465339516,1002.48459683873,1002.34254954356,1002.18880834206,1002.02365468478,1001.84735542464,1001.66016360122,1001.46231922495,1001.25405006143,1001.0355724157,1000.8070919165,1000.56880430058,1000.32089619696,1000.06354591128,999.796924210055,999.52119510502,999.23651663741,998.943041662295,998.640918632894,998.330292384897,998.011304920788,997.684096194177,997.348804894127,997.005569229491
5,1003.44424807117,1003.57769668304,1003.69115829044,1003.78530579097,1003.86078350047,1003.91820793687,1003.95816860398,1003.9812287754,1003.98792627847,1003.9787742782,1003.95426206137,1003.91485582048,1003.86099943789,1003.79311526989,1003.71160493084,1003.6168500773,1003.50921319221,1003.38903836906,1003.25665209606,1003.11236404041,1002.95646783246,1002.78924185,1002.61095000243,1002.4218425151,1002.2221567135,1002.01211780757,1001.79193967594,1001.56182565027,1001.32196929947,1001.07255521407,1000.81375979043,1000.54575201513,1000.26869424924,999.982743012611,999.688049768234,999.384761706533,999.073022529698,998.752973236004,998.424752904147,998.088499477568,997.744350548792
6,1004.27443310844,1004.40346397772,1004.51266989637,1004.60271836293,1004.67424842339,1004.72787145498,1004.76417195001,1004.78370829979,1004.78701357859,1004.77459632757,1004.74694133888,1004.70451043963,1004.64774327603,1004.57705809749,1004.4928525407,1004.39550441385,1004.28537248072,1004.16279724495,1004.02810173416,1003.88159228419,1003.72355932335,1003.55427815663,1003.37400974994,1003.18300151437,1002.98148809046,1002.76969213249,1002.54782509271,1002.31608800565,1002.07467227243,1001.82376044502,1001.56352701056,1001.29413917565,1001.01575765071,1000.7285374342,1000.43262859703,1000.12817706684,999.815325412305,999.494213627496,999.164979916189,998.827761476206,998.482695283741
7,1005.1036591003,1005.22830815783,1005.33329330398,1005.4192766382,1005.48689193658,1005.53674543563,1005.56941661615,1005.58545898714,1005.58540086976,1005.56974618133,1005.53897521931,1005.49354544545,1005.4338922698,1005.36042983482,1005.27355179958,1005.17363212385,1005.06102585228,1004.93606989862,1004.79908382988,1004.65037065059,1004.49021758696,1004.3188968712,1004.13666652569,1003.94377114731,1003.74044269163,1003.52690125724,1003.30335587002,1003.07000526737,1002.82703868261,1002.57463662915,1002.3129716849,1002.04220927651,1001.7625084637,1001.47402272358,1001.17690073497,1000.87128716269,1000.55732344193,1000.23514856254,999.904899853391,999.566713766674,999.220726662256
8,1005.93206970347,1006.05237019904,1006.15316688357,1006.23511645743,1006.29884742678,1006.34496088737,1006.37403130848,1006.38660731676,1006.38321248026,1006.36434609241,1006.33048395603,1006.28207916743,1006.2195629005,1006.14334519078,1006.05381571966,1005.95134459851,1005.83628315283,1005.70896470648,1005.56970536585,1005.41880480413,1005.25654704546,1005.08320124924,1004.89902249435,1004.70425256339,1004.49912072701,1004.2838445281,1004.05863056614,1003.82367528143,1003.57916573945,1003.3252804151,1003.06218997701,1002.79005807188,1002.50904210876,1002.21929404338,1001.92096116247,1001.61418686805,1001.2991114618,1000.97587292937,1000.64460772471,1000.30545155438,999.958540161915
9,1006.75978049528,1006.87576352165,1006.97240195938,1007.05034710968,1007.11022220877,1007.15262321164,1007.17811957599,1007.18725504613,1007.18054843698,1007.15849441805,1007.1215642975,1007.07020680621,1007.00484888187,1006.92589645312,1006.83373522364,1006.72873145638,1006.6112327577,1006.48156886156,1006.34005241373,1006.18697975603,1006.02263171054,1005.84727436385,1005.66115985131,1005.46452714129,1005.25760281944,1005.040601873,1004.81372847503,1004.57717676874,1004.33113165176,1004.07576956044,1003.81125925419,1003.53776259972,1003.25543535542,1002.96442795563,1002.66488629498,1002.35695251272,1002.040765777,1001.71646306927,1001.38417996854,1001.04405143576,1000.69621259814
