"Age","StndL","Weight","Blubber.mass","BlubPercent","D1cm","L1cm","V1cm","D2cm","L2cm","V2cm","D3cm","L3cm","V3cm","D4cm","L4cm","V4cm","D5cm","L5cm","V5cm"
0.53,1.14,29,16.98,0.586,3.73,3.33,3.24,4.7,4.2,3.5,6,4.2,5,4,3,4.1,4.98,2.83,5.01
0.59,1.09,18.2,4.55,0.25,1.59,1.43,1.39,2,1.8,1.5,2,1.7,1.4,1.6,1.5,1.2,1.99,1.42,1.47
0.59,0.97,19,8.56,0.451,2.06,2.22,2.69,2.6,2.8,2.9,2.8,2.8,3,3,3.2,3,3.74,3.02,3.66
0.61,1.135,28.8,16.6,0.576,3.25,3.1,3.34,4.1,3.9,3.6,4.8,4.2,3.5,4.1,4,3.9,5.11,3.78,4.76
0.68,1.13,21.6,5.17,0.239,1.35,1.27,1.95,1.7,1.6,2.1,1.7,1.5,1.7,2.2,1.2,1.3,2.74,1.13,1.59
0.69,1.063,28.2,14.93,0.529,3.41,3.17,3.61,4.3,4,3.9,4.4,4.3,4.3,4.2,3.8,4.1,5.23,3.59,5.01
0.7,1,16.2,6.4,0.395,1.67,1.75,2.22,2.1,2.2,2.4,2.6,2.2,2.3,2.2,2,2.2,2.74,1.89,2.69
0.71,1.09,24.8,14.06,0.567,3.02,2.38,3.24,3.8,3,3.5,4.2,4.2,3.9,4.9,3.9,3.5,6.1,3.68,4.27
0.71,1.08,23,10.56,0.459,3.17,2.62,2.69,4,3.3,2.9,3.4,3.3,3.4,3,2.5,2.4,3.74,2.36,2.93
0.71,0.975,22.1,8.97,0.406,2.86,2.14,2.13,3.6,2.7,2.3,3.6,3.1,2.1,3.5,3.4,2.7,4.36,3.21,3.3
0.72,1.12,19,3.47,0.183,0.79,1.03,1.3,1,1.3,1.4,1,1.6,1.7,0.9,1.1,1.3,1.12,1.04,1.59
0.75,1.14,34,12.8,0.376,1.59,2.3,3.71,2,2.9,4,3,2.9,2.9,3.3,3.2,3.4,4.11,3.02,4.15
0.77,1.16,22.2,4.19,0.189,1.11,1.03,1.3,1.4,1.3,1.4,1.5,1.3,1.3,1.6,1.3,1,1.99,1.23,1.22
0.77,1.135,21.8,5.64,0.259,1.35,1.35,1.67,1.7,1.7,1.8,2.2,2,1.8,1.7,1.8,1.6,2.12,1.7,1.95
0.77,1.17,24.2,10.96,0.453,2.54,2.3,2.78,3.2,2.9,3,3.3,3.3,2.6,2.8,2.5,2.3,3.49,2.36,2.81
0.77,1.07,20,6.26,0.313,1.67,1.75,2.22,2.1,2.2,2.4,1.9,2.1,2.1,2.2,1.8,1.9,2.74,1.7,2.32
0.78,1.11,16.2,2.79,0.172,0.71,1.03,1.02,0.9,1.3,1.1,1.1,1.2,1.2,1.4,1.2,1.1,1.74,1.13,1.34
0.78,0.96,13.4,2.34,0.175,1.03,0.79,1.11,1.3,1,1.2,1.4,1.1,1,1.4,1.3,1.2,1.74,1.23,1.47
0.79,1.04,24.4,12.49,0.512,3.17,2.78,3.43,4,3.5,3.7,4.3,4.1,3.1,3.7,3.4,2.5,4.61,3.21,3.05
0.81,1.12,25.2,11.01,0.437,2.78,1.98,2.78,3.5,2.5,3,2.5,3,3.5,3,3.5,2,3.74,3.31,2.44
0.82,1.2,36.2,23.13,0.639,4.6,3.97,3.06,5.8,5,3.3,5.9,5.3,4.8,4.7,4.4,4.5,5.85,4.15,5.49
0.84,0.94,20,10.13,0.507,3.17,2.46,3.52,4,3.1,3.8,4.4,3.8,3.4,3,3.4,3.7,3.74,3.21,4.52
0.84,0.94,20,10.13,0.507,3.17,2.46,3.52,4,3.1,3.8,4.4,3.8,3.4,3,3.4,3.7,3.74,3.21,4.52
0.86,1.13,30,12.31,0.41,2.38,2.54,2.59,3,3.2,2.8,3.1,3.2,3.2,3.3,3.1,3.1,4.11,2.93,3.79
