"Salinity (g kg-1)","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
0,0.00215356335546194,0.00207220096318544,0.00199568014924271,0.00192360901368987,0.00185563577618985,0.00179144382449307,0.00173074747521127,0.00167328833038525,0.00161883213460571,0.00156716605444048,0.00151809631557949,0.00147144614414407,0.00142705396756662,0.00138477183775537,0.00134446404524806,0.00130600589798729,0.00126928264242332,0.00123418850802935,0.0012006258591285,0.00116850444028409,0.00113774070347727,0.00110825720695702,0.00107998207704885,0.00105284852539605,0.00102679441511576,0.00100176187021141,0.000977696923316875,0.000954549197476789,0.00093227161820706,0.000910820152544841,0.000890153572198349,0.000870233238254094,0.000851022905200084,0.00083248854228514,0.00081459817046224,0.000797321713362585,0.000780630860920906,0.000764498944424803,0.000748900821894577,0.000733812772817561,0.000719212401364518
1,0.00215667974223511,0.00207524262430169,0.00199865053610427,0.00192651132863475,0.00185847299668253,0.00179421872439967,0.00173346264357413,0.00167594618804419,0.00162143494895829,0.0015697159525878,0.00152059529606692,0.00147389608747503,0.00142945664564156,0.00138712892236653,0.00134677711574232,0.00130827644819405,0.00127151208693126,0.00123637818788514,0.00120277704702086,0.00117061834526856,0.0011398184752905,0.00111029993996297,0.00108199081385454,0.00105482426016998,0.0010287380966382,0.0010036744046825,0.000979579176945671,0.000956401998871612,0.000934095760585514,0.000912616395779796,0.000891922644714511,0.000871975838788256,0.00085273970443684,0.000834180184378646,0.000816265274453563,0.000798964874501265,0.000782250651898515,0.000766095916527553,0.000750475506081377,0.000735365680729328,0.000720744026270022
2,0.0021598321532131,0.00207831861763686,0.00200165367240277,0.00192944491034219,0.00186134009321701,0.00179702219425239,0.00173620515380929,0.00167863023155979,0.00162406285981161,0.00157228991964248,0.0015231173751792,0.00147636821240458,0.00143188063784521,0.00138950649981065,0.00134910990085073,0.00131056597503219,0.00127375980771406,0.00123858547888426,0.00120494521393744,0.00117274862812905,0.00114191205291615,0.00111235793405722,0.00108401429274736,0.00105681424225357,0.00103069555352444,0.00100560026410914,0.000981474325455168,0.000958267284283896,0.000935931994283719,0.00091442435482588,0.000893703073809947,0.000873729452093416,0.000854467187261284,0.000835882194753315,0.000817942444594791,0.000800617812175544,0.000783879941696107,0.000767702121052266,0.000752059167063139,0.000736927320065593,0.000722284147001476
3,0.0021630205883959,0.00208142894319096,0.00200468955813821,0.0019324097588122,0.0018642370657933,0.00179985423405121,0.00173897500591676,0.00168134046093205,0.00162671586716569,0.00157488795560453,0.00152566255291634,0.00147886251893273,0.00143432594417758,0.00139190457008774,0.00135146240057327,0.0013128744785017,0.00127602580477171,0.0012408103810267,0.00120713035987823,0.00117489528886557,0.00114402143635423,0.00111443118923976,0.0010860525137273,0.0010588184716468,0.00103266678577448,0.00100753944849134,0.000983382368845366,0.00096014505371364,0.000937780319301676,0.000916244029683093,0.000895494859484657,0.000875494078169574,0.000856205353673415,0.000837594573409148,0.000819629680885925,0.000802280526385422,0.000785518730313683,0.000769317557998942,0.000753651804839863,0.000738497690826355,0.000723832763558879
4,0.00216624504778352,0.00208457360096399,0.0020077581933106,0.00193540587404477,0.0018671639144114,0.00180271484379615,0.00174177219989655,0.00168407687616098,0.00162939397102052,0.00157751006047395,0.00152823082927832,0.00148137900705947,0.00143679256463866,0.00139432313319779,0.00135383461490995,0.0013152019586026,0.00127831007810421,0.00124305289431246,0.00120933248484325,0.0011770583274781,0.00114614662560472,0.00111651970551061,0.00108810547679436,0.00106083694834968,0.00103465179338832,0.00100949195782908,0.000985303307116265,0.000962035307160845,0.000939640735639385,0.000918075420351433,0.000897298001738642,0.00087726971701673,0.000857954203673233,0.000839317320346144,0.000821326983326964,0.0008039530171309,0.000787167017751242,0.00077094222736758,0.000755253419411549,0.000740076793011614,0.000725389875942232
5,0.00216950553137594,0.00208775259095595,0.00201085957791994,0.0019384332560399,0.00187012063907129,0.0018056040234872,0.00174459673574865,0.00168683947724657,0.0016320971713761,0.00158015623425074,0.00153082220426516,0.00148391767678481,0.00143928049922846,0.00139676218914081,0.00135622654386077,0.00131754841533487,0.00128061262771157,0.00124531301874153,0.0012115515888325,0.00117923774396665,0.00114828762066763,0.00111862348286976,0.00109017318194854,0.00106286967236221,0.00103665057636596,0.00101145779212238,0.000987237140267864,0.000963938044625511,0.000941513243296845,0.000919918526830903,0.0008991125005719,0.000879056368634884,0.000859713737260737,0.000841050435564302,0.000823034351917908,0.000805635284411977,0.000788824804008785,0.000772576129158181,0.000756864010778196,0.000741664626621371,0.000726955484151534
6,0.00217280203917318,0.00209096591316683,0.00201399371196621,0.0019414919047976,0.001873107239773,0.00180852177312437,0.00174744861347306,0.00168962826418881,0.00163482546823242,0.0015828264769349,0.00153343667787684,0.00148647852810874,0.00144178974794698,0.0013992217379168,0.00135863818742572,0.00131991384869853,0.00128293345359379,0.00124759075431393,0.00121378767184596,0.00118143353833123,0.00115044442154296,0.00112074252131721,0.00109225562918985,0.00106491664368438,0.0010386631347074,0.00101343695137123,0.000989183868300164,0.000965853266107638,0.000943397842274057,0.0009217733491215,0.000900938355984433,0.000880854033024036,0.000861483954435929,0.000842793919063624,0.000824751786658757,0.000807327328228653,0.000790492089086311,0.000774219263370745,0.000758483578939806,0.000743261191655626,0.000728529588186785
7,0.00217613457117523,0.00209421356759664,0.00201716059544944,0.00194458182031786,0.00187612371651651,0.00181146809270765,0.00175032783306978,0.00169244323698772,0.0016375788615895,0.00158552078852643,0.00153607425011338,0.00148906156103127,0.00144432031079422,0.00140170177952575,0.00136106954560481,0.00132229825869356,0.00128527255575086,0.00124988610102965,0.00121604073388365,0.00118364571057182,0.00115261702823072,0.00112287682085296,0.00109435281851828,0.00106697786231621,0.00104068946841264,0.00101542943557563,0.000991143491213166,0.000967780971607225,0.000945294532571021,0.000923639887223227,0.000902775567976239,0.000882662710184185,0.000863264855198807,0.00084454777084411,0.000826479287549512,0.000809029148580928,0.000792168872983821,0.000775871630005272,0.000760112123896377,0.000744866488114378,0.000730112188047986
8,0.0021795031273821,0.00209749555424538,0.0020203602283696,0.00194770300260068,0.00187917006930182,0.00181444298223704,0.00175323439453881,0.0016952843956433,0.00164035735144733,0.00158823916902533,0.00153873492097477,0.00149166677555239,0.00144687218777017,0.00140420231396767,0.00136352061839804,0.00132470164531997,0.00128762993418279,0.00125219905888868,0.00121831077494555,0.00118587426068843,0.00115480544073089,0.001125026381477,0.00109646474993383,0.00106905332825768,0.00104272957748168,0.00101743524473559,0.000993116009006868,0.000969721161124274,0.000947203314187737,0.000925518141136082,0.00090462413654732,0.000884482400115333,0.000865056439549372,0.000846311990905758,0.000828216854590172,0.000810740745468802,0.000793855155701313,0.000777533229061762,0.00076174964564791,0.000746480515997628,0.000731703283735135
9,0.00218290770779377,0.00210081187311304,0.00202359261072671,0.00195085545164607,0.00188224629812894,0.00181744644171254,0.00175616829788016,0.00169815174015553,0.0016431609378059,0.0015909816184316,0.00154141869046101,0.00149429417167211,0.00144944537887484,0.00140672334124255,0.0013659914058054,0.00132712400857776,0.00129000558888957,0.00125452962789104,0.00122059779503168,0.00118811918868107,0.00115700965904348,0.00112719120318935,0.0010985914234365,0.00107114304150879,0.00104478346191453,0.00101945437885109,0.000995101421681271,0.000971673834658783,0.000949124187124204,0.000927408110860065,0.000906484061697675,0.000886313102817478,0.000866858707487625,0.000848086579248569,0.000829964487780738,0.000812462118892275,0.00079555093723879,0.000779204060540214,0.000763396144194405,0.000748103275305374,0.000733302875248235
