"Age","StndL","Weight","Blubber.mass","BlubPercent","D1cm","L1cm","V1cm","D2cm","L2cm","V2cm","D3cm","L3cm","V3cm","D4cm","L4cm","V4cm","D5cm","L5cm","V5cm"
1.52,1.28,37.5,12.25,0.327,1.98,2.3,2.04,2.5,2.9,2.2,3,2.8,2.1,2.8,2.3,2.2,3.49,2.17,2.69
1.57,1.12,33.2,17.76,0.535,3.57,3.02,3.06,4.5,3.8,3.3,5.3,4,3.6,4.4,3.9,4.1,5.48,3.68,5.01
1.61,1.17,41,16.65,0.406,2.94,2.62,2.59,3.7,3.3,2.8,4.7,2.5,5.2,4,3.8,4.4,4.98,3.59,5.37
1.61,1.215,36.6,22.15,0.605,3.97,3.02,3.89,5,3.8,4.2,5,5.2,4.7,4.8,4.2,4.5,5.98,3.97,5.49
1.62,1.16,37.8,18.88,0.499,2.62,2.7,3.99,3.3,3.4,4.3,4.4,3.7,5,4.8,4.1,4.4,5.98,3.87,5.37
1.67,1.21,20.6,3.42,0.166,1.19,0.95,1.2,1.5,1.2,1.3,1.2,1.3,1,1,1.1,1,1.25,1.04,1.22
1.72,1.255,36.6,12.66,0.346,1.75,2.14,2.87,2.2,2.7,3.1,2.6,3,2.6,2,3,2,2.49,2.83,2.44
1.72,1.24,34.8,11.96,0.344,1.83,2.3,2.78,2.3,2.9,3,3,2.7,2.3,3.2,2.5,2,3.99,2.36,2.44
1.73,1.095,29,9.85,0.34,1.98,2.3,2.69,2.5,2.9,2.9,2.5,2.5,1.8,3.3,3,2.3,4.11,2.83,2.81
1.75,1.245,32.5,13.8,0.425,1.9,2.78,3.15,2.4,3.5,3.4,3.2,3.2,3,2.9,3.3,2.9,3.61,3.12,3.54
1.77,1.24,32,13.76,0.43,1.83,2.38,3.43,2.3,3,3.7,3,3,3,3,3.5,2,3.74,3.31,2.44
1.77,1.21,30.5,16.23,0.532,3.17,2.62,3.71,4,3.3,4,3.8,4.4,2.6,5,4,3.5,6.23,3.78,4.27
1.77,1.255,36,11.86,0.329,1.98,1.75,2.5,2.5,2.2,2.7,2.9,2.6,2.2,3.1,2.7,2.6,3.86,2.55,3.17
