"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,0,10,0.05,152035.501476183,24945.5939290765
-5,0,10,0.0525,141570.957161864,23640.5917172162
-5,0,10,0.055,127558.140245346,24721.8645180619
-5,0,10,0.06,104690.360797621,22716.032119706
-5,0,10,0.08,56085.6370429659,16765.6368063506
-5,0,10,0.12,-1967.12464001623,10290.2286558056
-5,0,10,0.2,-46938.9904910545,7043.16444063343
-5,0,10,0.36,-76358.2582960626,3506.65229906129
-5,0,10,0.68,-93906.0621205413,1986.57397017512
-5,0,20,0.05,108688.876022299,27297.4119272653
-5,0,20,0.0525,90911.7155013927,33711.0635330662
-5,0,20,0.055,79141.8936235276,21468.6129026401
-5,0,20,0.06,54067.6176502519,23639.3514383286
-5,0,20,0.08,-6082.23617190989,18491.2678892271
-5,0,20,0.12,-66046.6519549487,11821.0543504407
-5,0,20,0.2,-117254.43410583,8172.47982294087
-5,0,20,0.36,-149400.442278233,3548.29141616842
-5,0,20,0.68,-168241.32800761,1992.97557477193
-5,0,30,0.05,52745.9827096441,33899.6665583633
-5,0,30,0.0525,43951.2469197246,30748.2039008973
-5,0,30,0.055,31981.0101042133,28457.6540462999
-5,0,30,0.06,1135.38738037778,24430.5233875219
-5,0,30,0.08,-60830.6209292264,17786.2284836262
-5,0,30,0.12,-126682.300253019,14688.4087052949
-5,0,30,0.2,-178480.057438513,8390.7864188717
-5,0,30,0.36,-214755.722799451,3990.41257751864
-5,0,30,0.68,-234463.355618306,2178.85196941832
-5,0,40,0.05,7376.32509149684,31079.7752870653
-5,0,40,0.0525,-15754.6716539172,29894.8541370484
-5,0,40,0.055,-23201.7541590662,28727.9840793923
-5,0,40,0.06,-44615.1647137564,29869.5666183698
-5,0,40,0.08,-115890.240527976,18556.7065478795
-5,0,40,0.12,-183411.760623889,12583.8916814741
-5,0,40,0.2,-237419.195184033,8742.42666071286
-5,0,40,0.36,-274740.13421976,4478.94566101837
-5,0,40,0.68,-295677.988536489,2386.5453881431
-5,0,50,0.05,-34624.1465197224,31705.5105014865
